TimeOfDay	Time	Air Flow	Lung Volume	Comp Ch 2
10:06:54.277	0	0.0589962	0.000280163	0.0225659
10:06:54.287	0.01	0.0589247	0.000558995	0.0225659
10:06:54.297	0.02	0.0585673	0.000831175	0.0225659
10:06:54.307	0.03	0.0577329	0.00108782	0.0225659
10:06:54.317	0.04	0.0563827	0.00131934	0.0194973
10:06:54.327	0.05	0.0546122	0.00151792	0.0162614
10:06:54.337	0.06	0.052619	0.00167166	0.0134442
10:06:54.347	0.07	0.0506054	0.00180352	0.0110303
10:06:54.357	0.08	0.0487139	0.00191343	0.00894194
10:06:54.367	0.09	0.0470454	0.00200195	0.00698634
10:06:54.377	0.1	0.0456866	0.00207044	0.00522707
10:06:54.387	0.11	0.0446895	0.00212099	0.00371123
10:06:54.397	0.12	0.0440432	0.00215624	0.00246274
10:06:54.407	0.13	0.0436997	0.00217902	0.00148376
10:06:54.417	0.14	0.0435789	0.00219213	0.000761863
10:06:54.427	0.15	0.0436067	0.00219817	0.000273545
10:06:54.437	0.16	0.043717	0.0021995	-1.3649e-05
10:06:54.447	0.17	0.0438379	0.00219829	-0.000141882
10:06:54.457	0.18	0.0439038	0.00219615	-0.000156571
10:06:54.467	0.19	0.0438924	0.00219413	-0.0244645
10:06:54.477	0.2	0.0438333	0.00219292	-0.0487374
10:06:54.487	0.21	0.0437697	0.0021928	-0.0730048
10:06:54.497	0.22	0.0437498	1.05249e-06	-0.0485595
10:06:54.507	0.23	0.0438189	2.97922e-06	-0.0241382
10:06:54.517	0.24	0.0439632	5.39081e-06	0.000265568
10:06:54.527	0.25	0.0441451	8.0462e-06	0.000303156
10:06:54.537	0.26	0.0443195	1.0954e-05	0.000353216
10:06:54.547	0.27	0.0444286	1.43235e-05	0.000420678
10:06:54.557	0.28	0.0444333	1.84228e-05	0.000498753
10:06:54.567	0.29	0.044329	2.34342e-05	0.000571698
10:06:54.577	0.3	0.0441773	2.93277e-05	0.000621323
10:06:54.587	0.31	0.0440744	3.58262e-05	0.000634293
10:06:54.597	0.32	0.044069	4.24794e-05	0.000607688
10:06:54.607	0.33	0.0441565	4.87981e-05	0.000551127
10:06:54.617	0.34	0.0442806	5.43968e-05	0.000484122
10:06:54.627	0.35	0.0443881	5.91302e-05	0.000428336
10:06:54.637	0.36	0.0444364	6.31781e-05	0.000397351
10:06:54.647	0.37	0.0443866	6.6937e-05	0.000389799
10:06:54.657	0.38	0.0442534	7.07603e-05	0.000390873
10:06:54.667	0.39	0.0440853	7.47695e-05	0.000380057
10:06:54.677	0.4	0.0439247	7.87975e-05	0.00034046
10:06:54.687	0.41	0.0438276	8.2487e-05	0.000264989
10:06:54.697	0.42	0.0438491	8.53874e-05	0.000159931
10:06:54.707	0.43	0.0439749	8.70943e-05	4.23205e-05
10:06:54.717	0.44	0.0441194	8.74213e-05	-6.60932e-05
10:06:54.727	0.45	0.0441992	8.65501e-05	-0.000148781
10:06:54.737	0.46	0.0441696	8.48062e-05	-0.00019959
10:06:54.747	0.47	0.0440437	8.25984e-05	-0.000224836
10:06:54.757	0.48	0.0438358	8.02709e-05	-0.000239348
10:06:54.767	0.49	0.043601	7.79452e-05	-0.000259963
10:06:54.777	0.5	0.0434207	7.55034e-05	-0.000297787
10:06:54.787	0.51	0.0433504	7.26856e-05	-0.000353878
10:06:54.797	0.52	0.0434099	6.92289e-05	-0.000419705
10:06:54.807	0.53	0.0435658	6.50042e-05	-0.000481657
10:06:54.817	0.54	0.0437349	6.0052e-05	-0.000526698
10:06:54.827	0.55	0.0438506	5.45882e-05	-0.00054751
10:06:54.837	0.56	0.0438849	4.89293e-05	-0.000545014
10:06:54.847	0.57	0.0438286	4.33648e-05	-0.000527458
10:06:54.857	0.58	0.0437048	3.80744e-05	-0.000506717
10:06:54.867	0.59	0.0435753	3.30791e-05	-0.000493418
10:06:54.877	0.6	0.0434807	2.82577e-05	-0.000493318
10:06:54.887	0.61	0.0434399	2.34272e-05	-0.000505837
10:06:54.897	0.62	0.0434502	1.84258e-05	-0.000524825
10:06:54.907	0.63	0.0434936	1.31595e-05	-0.000540937
10:06:54.917	0.64	0.0435624	7.65336e-06	-0.000545067
10:06:54.927	0.65	0.0436384	2.0635e-06	-0.00053189
10:06:54.937	0.66	0.0437002	-3.38867e-06	-0.000501718
10:06:54.947	0.67	0.043728	-8.49224e-06	-0.000460068
10:06:54.957	0.68	0.0437184	-1.31128e-05	-0.00041595
10:06:54.967	0.69	0.0436799	-1.72214e-05	-0.000379824
10:06:54.977	0.7	0.0436429	-2.08893e-05	-0.000361108
10:06:54.987	0.71	0.0436401	-2.43185e-05	-0.000364375
10:06:54.997	0.72	0.0436817	-2.78028e-05	-0.000386602
10:06:55.007	0.73	0.0437505	-3.1602e-05	-0.000417818
10:06:55.017	0.74	0.0438137	-3.58181e-05	-0.000445886
10:06:55.027	0.75	0.0438463	-4.03847e-05	-0.000462237
10:06:55.037	0.76	0.0438347	-4.51241e-05	-0.000465579
10:06:55.047	0.77	0.0437471	-4.98438e-05	-0.000461817
10:06:55.057	0.78	0.0435958	-5.44382e-05	-0.000460435
10:06:55.067	0.79	0.0434565	-5.89471e-05	-0.00046906
10:06:55.077	0.8	0.0434054	-6.3531e-05	-0.000488992
10:06:55.087	0.81	0.0434471	-6.83672e-05	-0.000513773
10:06:55.097	0.82	0.0435462	-7.35463e-05	-0.000531475
10:06:55.107	0.83	0.0436582	-7.9012e-05	-0.000529494
10:06:55.117	0.84	0.0437371	-8.45266e-05	-0.000500225
10:06:55.127	0.85	0.0437479	-8.97386e-05	-0.000444395
10:06:55.137	0.86	0.0436925	-9.43147e-05	-0.000370791
10:06:55.147	0.87	0.0436185	-9.80517e-05	-0.000292703
10:06:55.157	0.88	0.043581	-0.000100906	-0.000223198
10:06:55.167	0.89	0.0436128	-0.000102993	-0.000170402
10:06:55.177	0.9	0.0437093	-0.000104549	-0.000134128
10:06:55.187	0.91	0.04383	-0.000105819	-0.000106064
10:06:55.197	0.92	0.0439486	-0.00010692	0.00112816
10:06:55.207	0.93	0.0440548	-0.000107781	0.0023756
10:06:55.217	0.94	0.04413	-0.000108205	0.00363734
10:06:55.227	0.95	0.0441403	2.33962e-07	0.00250133
10:06:55.237	0.96	0.0440691	1.25553e-06	0.00135911
10:06:55.247	0.97	0.0439585	2.96515e-06	0.000197901
10:06:55.257	0.98	0.0438781	5.14635e-06	0.0002105
10:06:55.267	0.99	0.043878	7.49262e-06	0.000191143
10:06:55.277	1	0.0439576	9.62677e-06	0.000143908
10:06:55.287	1.01	0.0440724	1.11926e-05	8.11716e-05
10:06:55.297	1.02	0.0441642	1.19876e-05	1.91315e-05
10:06:55.307	1.03	0.0441909	1.20372e-05	-2.89717e-05
10:06:55.317	1.04	0.0441601	1.15927e-05	-5.90923e-05
10:06:55.327	1.05	0.0440641	1.0899e-05	-7.59299e-05
10:06:55.337	1.06	0.0439063	1.01183e-05	-8.92125e-05
10:06:55.347	1.07	0.0437322	9.28184e-06	-0.000107772
10:06:55.357	1.08	0.0436007	8.29497e-06	-0.00013583
10:06:55.367	1.09	0.0435473	7.00402e-06	-0.00017133
10:06:55.377	1.1	0.0435798	5.30066e-06	-0.000207109
10:06:55.387	1.11	0.0436853	3.16572e-06	-0.000233375
10:06:55.397	1.12	0.0438107	6.94718e-07	-0.000240947
10:06:55.407	1.13	0.0439144	-1.90064e-06	-0.000224758
10:06:55.417	1.14	0.043956	-4.32739e-06	-0.000186795
10:06:55.427	1.15	0.0439288	-6.29611e-06	-0.000136783
10:06:55.437	1.16	0.0438718	-7.64495e-06	-8.92856e-05
10:06:55.447	1.17	0.0438262	-8.40383e-06	-5.91205e-05
10:06:55.457	1.18	0.0438041	-8.78585e-06	-5.67591e-05
10:06:55.467	1.19	0.04381	-9.11448e-06	-8.55877e-05
10:06:55.477	1.2	0.0438626	-9.76541e-06	-0.000141026
10:06:55.487	1.21	0.0439551	-1.10631e-05	-0.000212135
10:06:55.497	1.22	0.044027	-1.31786e-05	-0.000285353
