TimeOfDay	Time	Air Flow	Lung Volume	Comp Ch 2
09:13:38.081	0	0.0447864	9.90341e-06	0.00196834
09:13:38.086	0.005	0.0447861	1.98034e-05	0.00196834
09:13:38.091	0.01	0.044784	2.9684e-05	0.00196834
09:13:38.096	0.015	0.0447805	3.95318e-05	0.00196834
09:13:38.101	0.02	0.0447787	4.93634e-05	0.00196568
09:13:38.106	0.025	0.0447793	5.92007e-05	0.00195981
09:13:38.111	0.03	0.0447785	6.90303e-05	0.00194589
09:13:38.116	0.035	0.0447724	7.88039e-05	0.00191988
09:13:38.121	0.04	0.044759	8.84531e-05	0.00187942
09:13:38.126	0.045	0.0447375	9.79025e-05	0.00177491
09:13:38.131	0.05	0.0447075	0.000107074	0.00160872
09:13:38.136	0.055	0.0446686	0.000115885	0.00138601
09:13:38.141	0.06	0.0446185	0.000122072	0.00121168
09:13:38.146	0.065	0.044552	0.000127865	0.00109068
09:13:38.151	0.07	0.0444653	0.000133294	0.00102554
09:13:38.156	0.075	0.044358	0.000138397	0.000967448
09:13:38.161	0.08	0.0442336	0.000143211	0.00091578
09:13:38.166	0.085	0.0441009	0.000147773	0.000869291
09:13:38.171	0.09	0.0439702	0.000152107	0.000826434
09:13:38.176	0.095	0.0438515	0.000156233	0.000785671
09:13:38.181	0.1	0.0437524	0.000160159	0.000745633
09:13:38.186	0.105	0.0436805	0.000163889	0.000705195
09:13:38.191	0.11	0.0436412	0.00016742	0.000663553
09:13:38.196	0.115	0.0436368	0.000170744	0.000620367
09:13:38.201	0.12	0.0436651	0.000173851	0.000575926
09:13:38.206	0.125	0.0437227	0.000176733	0.000531263
09:13:38.211	0.13	0.0438054	0.000179385	0.000488074
09:13:38.216	0.135	0.0439035	0.000181813	0.00044844
09:13:38.221	0.14	0.0440043	0.000184036	0.000414384
09:13:38.226	0.145	0.0440955	0.000186083	0.000387455
09:13:38.231	0.15	0.0441681	0.000187992	0.00036844
09:13:38.236	0.155	0.0442153	0.000189807	0.000357294
09:13:38.241	0.16	0.0442352	0.000191569	0.000353176
09:13:38.246	0.165	0.0442295	0.000193315	0.00035454
09:13:38.251	0.17	0.0442005	0.000195076	0.000359193
09:13:38.256	0.175	0.0441503	0.000196869	0.000364385
09:13:38.261	0.18	0.0440846	0.0001987	0.000366966
09:13:38.266	0.185	0.04401	0.000200555	0.000363715
09:13:38.271	0.19	0.0439331	0.000202404	0.000351775
09:13:38.276	0.195	0.0438622	0.0002042	0.000329109
09:13:38.281	0.2	0.0438032	0.000205887	0.000294784
09:13:38.286	0.205	0.0437593	0.000207401	0.000249021
09:13:38.291	0.21	0.0437306	0.000208681	0.000193018
09:13:38.296	0.215	0.0437148	0.000209675	0.00012885
09:13:38.301	0.22	0.0437093	0.000210338	5.97211e-05
09:13:38.306	0.225	0.0437111	0.000210642	-1.0881e-05
09:13:38.311	0.23	0.0437185	0.000210575	-7.97005e-05
09:13:38.316	0.235	0.0437292	0.000210165	-0.000144929
09:13:38.321	0.24	0.0437367	0.000209425	-0.000205152
09:13:38.326	0.245	0.0437311	0.000208378	-0.000259395
09:13:38.331	0.25	0.043707	0.000207057	-0.000306775
09:13:38.336	0.255	0.0436643	0.000205498	-0.000347196
09:13:38.341	0.26	0.0436064	0.00020374	-0.000381286
09:13:38.346	0.265	0.0435385	0.000201816	-0.000410246
09:13:38.351	0.27	0.0434664	0.000199753	-0.00043566
09:13:38.356	0.275	0.0433948	0.000197569	-0.000459274
09:13:38.361	0.28	0.043326	0.000195272	-0.000482781
09:13:38.366	0.285	0.0432634	0.000192864	-0.000507554
09:13:38.371	0.29	0.0432127	0.000190334	-0.00053443
09:13:38.376	0.295	0.043179	0.000187671	-0.000563521
09:13:38.381	0.3	0.0431646	0.00018486	-0.000594115
09:13:38.386	0.305	0.0431703	0.00018189	-0.000624745
09:13:38.391	0.31	0.0431926	0.00017876	-0.000653429
09:13:38.396	0.315	0.0432263	0.000175479	-0.000678061
09:13:38.401	0.32	0.0432669	0.000172068	-0.00069679
09:13:38.406	0.325	0.0433083	0.000168559	-0.000708332
09:13:38.411	0.33	0.0433442	0.00016499	-0.00071212
09:13:38.416	0.335	0.0433702	0.000161403	-0.000708308
09:13:38.421	0.34	0.0433813	0.000157838	-0.000697618
