SoftwareTimestamp,hardwareLoop,hardwareISR,Temperature,Flow,Pressure,TimeDuration
2025-04-03 09:31:04.932767,,2785,,,,
2025-04-03 09:31:04.936823,59964,59945,29.63,35.64,6.77,2233
2025-04-03 09:31:04.942842,64964,64945,29.63,35.64,6.77,2741
2025-04-03 09:31:04.946746,69964,69945,29.63,35.64,6.77,1653
2025-04-03 09:31:04.951791,74964,74945,29.63,34.82,6.46,2081
2025-04-03 09:31:04.956146,79964,79945,29.63,36.43,7.07,1648
2025-04-03 09:31:04.962519,84964,84945,29.63,35.64,6.77,2480
2025-04-03 09:31:04.967124,2582,89945,29.63,35.64,6.77,2613
2025-04-03 09:31:04.973290,7582,7564,29.63,34.82,6.46,3106
2025-04-03 09:31:04.977152,12580,12564,29.63,36.43,7.07,2616
2025-04-03 09:31:04.982162,17581,17564,29.63,35.64,6.77,2437
2025-04-03 09:31:04.987168,22582,22564,29.63,34.82,6.46,2524
2025-04-03 09:31:04.992213,27582,27564,29.63,35.64,6.77,1797
2025-04-03 09:31:04.998196,32582,32564,29.63,35.64,6.77,2920
2025-04-03 09:31:05.003297,37582,37564,29.63,34.82,6.46,3092
2025-04-03 09:31:05.007222,42582,42564,29.63,35.64,6.77,2189
2025-04-03 09:31:05.012169,47581,47564,29.63,34.82,6.46,2616
2025-04-03 09:31:05.017169,52581,52564,29.63,34.82,6.46,2545
2025-04-03 09:31:05.022753,57581,57564,29.63,33.57,6.00,2373
2025-04-03 09:31:05.028415,62581,62564,29.63,34.82,6.46,3416
2025-04-03 09:31:05.032327,67582,67564,29.63,34.82,6.46,2688
2025-04-03 09:31:05.037310,72582,72564,29.63,34.82,6.46,2456
2025-04-03 09:31:05.043186,77584,77564,29.63,33.57,6.00,2996
2025-04-03 09:31:05.048173,82581,82564,29.63,33.57,6.00,3177
2025-04-03 09:31:05.053161,200,87564,29.63,33.57,6.00,2818
2025-04-03 09:31:05.057150,5201,5182,29.63,34.82,6.46,2657
2025-04-03 09:31:05.062136,10201,10182,29.63,34.82,6.46,2632
2025-04-03 09:31:05.068398,15201,15182,29.63,34.82,6.46,3026
2025-04-03 09:31:05.072107,20201,20182,29.63,35.64,6.77,2137
2025-04-03 09:31:05.078096,25201,25182,29.63,33.57,6.00,3377
2025-04-03 09:31:05.082408,30201,30182,29.63,34.82,6.46,2448
2025-04-03 09:31:05.087266,35201,35182,29.63,34.82,6.46,2576
2025-04-03 09:31:05.092361,40201,40182,29.63,33.57,6.00,2728
2025-04-03 09:31:05.097568,45201,45182,29.63,33.57,6.00,2761
2025-04-03 09:31:05.102244,50200,50182,29.63,34.82,6.46,2482
2025-04-03 09:31:05.108221,55201,55182,29.63,33.57,6.00,3221
2025-04-03 09:31:05.112198,60201,60182,29.63,34.82,6.46,2181
2025-04-03 09:31:05.116201,65201,65182,29.63,34.82,6.46,2009
2025-04-03 09:31:05.122994,70201,70182,29.63,34.82,6.46,2874
2025-04-03 09:31:05.129099,75201,75182,29.63,33.57,6.00,3391
2025-04-03 09:31:05.132961,80201,80182,29.63,33.57,6.00,3058
2025-04-03 09:31:05.137516,85201,85182,29.63,35.64,6.77,2485
2025-04-03 09:31:05.142122,2818,90182,29.63,33.57,6.00,2393
2025-04-03 09:31:05.147090,7818,7801,29.63,34.82,6.46,2066
2025-04-03 09:31:05.152095,12817,12801,29.63,34.82,6.46,2510
2025-04-03 09:31:05.157070,17818,17801,29.63,34.82,6.46,2537
2025-04-03 09:31:05.162067,22820,22801,29.63,35.64,6.77,1728
2025-04-03 09:31:05.168002,27820,27801,29.63,34.82,6.46,2010
2025-04-03 09:31:05.173113,32818,32801,29.63,34.82,6.46,3329
2025-04-03 09:31:05.177980,37820,37801,29.63,34.82,6.46,2609
2025-04-03 09:31:05.182968,42820,42801,29.63,33.57,6.00,2383
2025-04-03 09:31:05.188171,47820,47801,29.63,33.57,6.00,3048
2025-04-03 09:31:05.193142,52820,52801,29.63,33.57,6.00,2942
2025-04-03 09:31:05.198545,57820,57801,29.63,34.82,6.46,3281
2025-04-03 09:31:05.203111,62820,62801,29.63,32.70,5.70,2824
2025-04-03 09:31:05.207049,67818,67801,29.63,33.57,6.00,1724
2025-04-03 09:31:05.214022,72820,72801,29.63,33.57,6.00,3317
2025-04-03 09:31:05.218056,77821,77801,29.63,32.70,5.70,2681
2025-04-03 09:31:05.223002,82820,82801,29.63,32.70,5.70,2762
2025-04-03 09:31:05.227988,438,87801,29.63,31.81,5.39,3312
2025-04-03 09:31:05.232980,5438,5420,29.63,31.81,5.39,2589
2025-04-03 09:31:05.238354,10438,10420,29.63,31.81,5.39,3073
2025-04-03 09:31:05.243343,15438,15420,29.63,35.64,6.77,3610
2025-04-03 09:31:05.248369,20437,20420,29.63,32.70,5.70,3161
2025-04-03 09:31:05.252319,25437,25420,29.63,33.57,6.00,2266
2025-04-03 09:31:05.256452,30438,30420,29.63,33.57,6.00,1613
2025-04-03 09:31:05.262382,35438,35420,29.63,32.70,5.70,2981
2025-04-03 09:31:05.268325,40438,40420,29.63,32.70,5.70,2979
2025-04-03 09:31:05.272300,45438,45420,29.63,32.70,5.70,1773
2025-04-03 09:31:05.278471,50438,50420,29.63,32.70,5.70,3440
2025-04-03 09:31:05.283282,55437,55420,29.63,31.81,5.39,3042
2025-04-03 09:31:05.288245,60437,60420,29.63,34.82,6.46,3270
2025-04-03 09:31:05.293212,65438,65420,29.63,33.57,6.00,2772
2025-04-03 09:31:05.298195,70440,70421,29.63,32.70,5.70,3507
2025-04-03 09:31:05.304183,75441,75420,29.63,33.57,6.00,3557
2025-04-03 09:31:05.307539,80441,80420,29.63,34.82,6.46,2677
2025-04-03 09:31:05.313330,85442,85420,29.63,33.57,6.00,3244
2025-04-03 09:31:05.317141,3060,90420,29.63,33.57,6.00,2470
2025-04-03 09:31:05.323085,8060,8038,29.63,33.57,6.00,3289
2025-04-03 09:31:05.327342,13061,13038,29.63,34.82,6.46,2658
2025-04-03 09:31:05.332235,18057,18038,29.63,34.82,6.46,2852
2025-04-03 09:31:05.337045,23057,23038,29.63,33.57,6.00,2469
2025-04-03 09:31:05.344239,28057,28038,29.63,34.82,6.46,3704
2025-04-03 09:31:05.347249,33056,33038,29.63,34.82,6.46,2834
2025-04-03 09:31:05.352174,38057,38038,29.63,34.82,6.46,2436
2025-04-03 09:31:05.357270,43057,43038,29.63,34.82,6.46,2483
2025-04-03 09:31:05.362217,48057,48038,29.63,33.57,6.00,2880
2025-04-03 09:31:05.367303,53057,53038,29.63,35.64,6.77,2202
2025-04-03 09:31:05.373218,58056,58038,29.63,34.82,6.46,3057
2025-04-03 09:31:05.378301,63057,63038,29.63,34.82,6.46,3467
2025-04-03 09:31:05.382570,68057,68038,29.63,33.57,6.00,1906
2025-04-03 09:31:05.388138,73057,73038,29.63,33.57,6.00,3727
2025-04-03 09:31:05.393761,78057,78038,29.63,33.57,6.00,3684
2025-04-03 09:31:05.397120,83057,83038,29.63,33.57,6.00,2702
2025-04-03 09:31:05.404093,677,88038,29.63,33.57,6.00,3847
2025-04-03 09:31:05.407085,5676,5657,29.63,32.70,5.70,2871
2025-04-03 09:31:05.412113,10676,10657,29.63,33.57,6.00,2207
2025-04-03 09:31:05.417077,15674,15657,29.63,32.70,5.70,1833
2025-04-03 09:31:05.422083,20674,20657,29.63,33.57,6.00,2733
2025-04-03 09:31:05.427082,25674,25657,29.63,32.70,5.70,2622
2025-04-03 09:31:05.432068,30676,30657,29.63,33.57,6.00,1914
2025-04-03 09:31:05.436550,35676,35657,29.63,33.57,6.00,1844
2025-04-03 09:31:05.442039,40676,40657,29.63,33.57,6.00,2473
2025-04-03 09:31:05.446121,45676,45657,29.63,31.81,5.39,1973
2025-04-03 09:31:05.452131,50676,50657,29.63,33.57,6.00,2253
2025-04-03 09:31:05.457178,55676,55657,29.63,33.57,6.00,2476
2025-04-03 09:31:05.461109,60676,60657,29.63,32.70,5.70,1667
2025-04-03 09:31:05.467062,65676,65657,29.63,32.70,5.70,2328
2025-04-03 09:31:05.472180,70674,70657,29.63,33.57,6.00,2777
2025-04-03 09:31:05.478094,75676,75657,29.63,32.70,5.70,2341
2025-04-03 09:31:05.482284,80676,80657,29.63,33.57,6.00,2448
2025-04-03 09:31:05.488042,85676,85657,29.63,33.57,6.00,3606
2025-04-03 09:31:05.492042,3293,90657,29.63,32.70,5.70,2210
2025-04-03 09:31:05.498132,8294,8276,29.63,34.82,6.46,3729
2025-04-03 09:31:05.502123,13293,13276,29.63,33.57,6.00,2561
2025-04-03 09:31:05.507101,18294,18276,29.63,33.57,6.00,2244
2025-04-03 09:31:05.511091,23294,23276,29.63,34.82,6.46,1652
2025-04-03 09:31:05.516382,28294,28276,29.63,33.57,6.00,1625
2025-04-03 09:31:05.523183,33294,33276,29.63,34.82,6.46,2945
2025-04-03 09:31:05.528171,38293,38276,29.63,35.64,6.77,3514
2025-04-03 09:31:05.533390,43293,43276,29.63,34.82,6.46,3533
2025-04-03 09:31:05.537141,48294,48276,29.63,35.64,6.77,2360
2025-04-03 09:31:05.543130,53293,53276,29.63,34.82,6.46,3177
2025-04-03 09:31:05.548112,58293,58276,29.63,35.64,6.77,3444
2025-04-03 09:31:05.552374,63294,63276,29.63,33.57,6.00,2561
2025-04-03 09:31:05.556096,68294,68276,29.63,34.82,6.46,2246
2025-04-03 09:31:05.562386,73294,73276,29.63,33.57,6.00,2733
2025-04-03 09:31:05.567321,78294,78276,29.63,34.82,6.46,2839
2025-04-03 09:31:05.573205,83294,83276,29.63,34.82,6.46,3316
2025-04-03 09:31:05.577261,913,88276,29.63,34.82,6.46,3036
2025-04-03 09:31:05.582237,5913,5894,29.63,34.82,6.46,2428
2025-04-03 09:31:05.586202,10913,10894,29.63,33.57,6.00,1645
2025-04-03 09:31:05.593187,15913,15894,29.63,33.57,6.00,3214
2025-04-03 09:31:05.597195,20913,20894,29.63,34.82,6.46,2500
2025-04-03 09:31:05.601163,25912,25894,29.63,33.57,6.00,1621
2025-04-03 09:31:05.607311,30913,30894,29.63,33.57,6.00,2761
2025-04-03 09:31:05.613117,35913,35894,29.63,33.57,6.00,3596
2025-04-03 09:31:05.617142,40914,40894,29.63,33.57,6.00,1748
2025-04-03 09:31:05.622135,45913,45894,29.63,34.82,6.46,2854
2025-04-03 09:31:05.628338,50912,50894,29.63,33.57,6.00,3540
2025-04-03 09:31:05.632046,55913,55894,29.63,34.82,6.46,2040
2025-04-03 09:31:05.637075,60913,60894,29.63,34.82,6.46,1704
2025-04-03 09:31:05.643205,65913,65894,29.63,33.57,6.00,3420
2025-04-03 09:31:05.647011,70913,70894,29.63,33.57,6.00,2488
2025-04-03 09:31:05.652035,75913,75894,29.63,33.57,6.00,2136
2025-04-03 09:31:05.659110,80914,80894,29.63,34.82,6.46,3776
2025-04-03 09:31:05.662019,85913,85894,29.63,34.82,6.46,2629
2025-04-03 09:31:05.667992,3532,90894,29.63,35.64,6.77,2729
2025-04-03 09:31:05.672941,8532,8513,29.63,34.82,6.46,2894
2025-04-03 09:31:05.677966,13530,13513,29.63,34.82,6.46,3317
2025-04-03 09:31:05.683004,18532,18513,29.63,35.64,6.77,2718
2025-04-03 09:31:05.687993,23532,23513,29.63,35.64,6.77,3285
2025-04-03 09:31:05.691175,28532,28513,29.63,34.82,6.46,2180
2025-04-03 09:31:05.697107,33532,33513,29.63,36.43,7.07,2442
2025-04-03 09:31:05.702260,38532,38513,29.63,32.70,5.70,2749
2025-04-03 09:31:05.707578,43532,43513,29.63,32.70,5.70,2815
2025-04-03 09:31:05.712234,48532,48513,29.63,34.82,6.46,2932
2025-04-03 09:31:05.717509,53530,53513,29.63,36.43,7.07,2848
2025-04-03 09:31:05.723179,58530,58513,29.63,35.64,6.77,3568
2025-04-03 09:31:05.727747,63532,63513,29.63,35.64,6.77,2868
2025-04-03 09:31:05.732147,68532,68513,29.63,35.64,6.77,2742
2025-04-03 09:31:05.738137,73532,73513,29.63,33.57,6.00,2985
2025-04-03 09:31:05.743125,78532,78513,29.63,35.64,6.77,3053
2025-04-03 09:31:05.748111,83532,83513,29.63,34.82,6.46,3420
2025-04-03 09:31:05.753687,1150,88513,29.63,34.82,6.46,4089
2025-04-03 09:31:05.755496,Sensor read too slow! Took 4089µs,,,,,
2025-04-03 09:31:05.757542,6150,6132,29.63,34.82,6.46,3327
