Time	Air Flow	Lung Volume	Comp Ch 2
0	0.037035	-1.82046e-05	-0.00348771
0.005	0.0370356	-3.64037e-05	-0.00348771
0.01	0.0370423	-5.45469e-05	-0.00348771
0.015	0.0370651	-7.25002e-05	-0.00348771
0.02	0.03711	-9.00781e-05	-0.00336839
0.025	0.03718	-0.000107072	-0.00320665
0.03	0.0372778	-0.000123248	-0.00300579
0.035	0.0374025	-0.000138383	-0.00277382
0.04	0.0375461	-0.000152318	-0.00252156
0.045	0.0377014	-0.000164957	-0.00227349
0.05	0.0378627	-0.000176249	-0.00205146
0.055	0.0380216	-0.000186213	-0.00187328
0.06	0.0381734	-0.000195503	-0.00172602
0.065	0.0383161	-0.000204123	-0.00159578
0.07	0.03845	-0.000212091	-0.00146888
0.075	0.0385746	-0.000219422	-0.00134593
0.08	0.0386883	-0.000226137	-0.00122748
0.085	0.0387935	-0.000232257	-0.00111437
0.09	0.0388884	-0.000237808	-0.00100767
0.095	0.0389703	-0.000242821	-0.000908619
0.1	0.0390375	-0.000247334	-0.000818376
0.105	0.0390866	-0.000251393	-0.000737875
0.11	0.0391104	-0.000255047	-0.00066771
0.115	0.0391079	-0.00025835	-0.000608123
0.12	0.0390822	-0.000261355	-0.000559015
0.125	0.0390394	-0.000264116	-0.000519922
0.13	0.0389903	-0.000266685	-0.000489999
0.135	0.038945	-0.000269108	-0.000468044
0.14	0.0389111	-0.000271426	-0.000452625
0.145	0.038891	-0.000273672	-0.000442245
0.15	0.0388843	-0.000275872	-0.000435458
0.155	0.0388886	-0.000278042	-0.000430951
0.16	0.0388981	-0.000280193	-0.000427524
0.165	0.0389066	-0.000282331	-0.00042407
0.17	0.0389123	-0.000284455	-0.000419544
0.175	0.0389152	-0.00028656	-0.000413036
0.18	0.0389126	-0.000288634	-0.000403933
0.185	0.0389043	-0.000290664	-0.000392088
0.19	0.0388931	-0.000292633	-0.000377875
0.195	0.038885	-0.000294528	-0.000362036
0.2	0.0388875	-0.000296341	-0.000345407
0.205	0.0389041	-0.000298068	-0.000328639
0.21	0.0389342	-0.000299709	-0.000312073
0.215	0.0389763	-0.000301269	-0.000295721
0.22	0.0390264	-0.000302747	-0.00027938
0.225	0.0390786	-0.000304145	-0.000262765
0.23	0.0391272	-0.000305461	-0.000245684
0.235	0.0391679	-0.000306691	-0.000228173
0.24	0.0391982	-0.000307833	-0.000210611
0.245	0.0392164	-0.000308885	-0.000193803
0.25	0.0392212	-0.000309848	-0.000178987
0.255	0.0392122	-0.000310731	-0.000167679
0.26	0.0391923	-0.000311552	-0.000161433
0.265	0.0391674	-0.000312337	-0.000161556
0.27	0.0391449	-0.00031312	-0.000168913
0.275	0.039132	-0.000313938	-0.000183784
0.28	0.0391308	-0.000314832	-0.000205842
0.285	0.0391386	-0.00031584	-0.000234202
0.29	0.0391527	-0.000316993	-0.000267569
0.295	0.0391682	-0.00031832	-0.000304347
0.3	0.0391802	-0.000319836	-0.000342773
0.305	0.0391833	-0.00032155	-0.000381014
0.31	0.0391693	-0.000323462	-0.00041731
0.315	0.0391315	-0.000325561	-0.0004501
0.32	0.0390711	-0.000327828	-0.000478159
0.325	0.0389952	-0.000330238	-0.000500648
0.33	0.0389115	-0.000332762	-0.000517156
0.335	0.0388271	-0.000335368	-0.000527605
0.34	0.03875	-0.000338026	-0.000532137
0.345	0.0386864	-0.000340706	-0.000530975
0.35	0.0386402	-0.000343379	-0.000524337
0.355	0.0386116	-0.000346018	-0.000512411
0.36	0.0385992	-0.000348597	-0.000495306
0.365	0.0386039	-0.000351091	-0.000472977
0.37	0.0386255	-0.000353473	-0.000445177
0.375	0.0386619	-0.000355719	-0.000411471
0.38	0.0387087	-0.000357798	-0.000371422
0.385	0.0387639	-0.000359677	-0.000324778
0.39	0.0388267	-0.000361324	-0.000271641
0.395	0.0388981	-0.000362703	-0.000212507
0.4	0.0389778	-0.000363783	-0.000148261
0.405	0.0390652	-0.000364537	0.00803164
0.41	0.0391586	-0.000364946	0.0162155
0.415	0.0392539	-0.000364997	0.0244024
0.42	0.0393483	3.44632e-07	0.0163676
0.425	0.0394366	1.08385e-06	0.0083299
0.43	0.0395147	2.19932e-06	0.000286086
0.435	0.0395801	3.65906e-06	0.000344785
0.44	0.0396303	5.41858e-06	0.000393117
0.445	0.0396673	7.42402e-06	0.000429836
0.45	0.0396942	9.61495e-06	0.00045434
0.455	0.0397122	1.19282e-05	0.000466598
0.46	0.0397216	1.43011e-05	0.000467054
0.465	0.0397242	1.66735e-05	0.000456483
0.47	0.0397218	1.89895e-05	0.000435855
0.475	0.0397132	2.11987e-05	0.000406202
