Time	Air Flow	Lung Volume	Comp Ch 2
0	0.0400495	1.0962e-05	0.00220346
0.005	0.0400495	2.19231e-05	0.00220346
0.01	0.0400501	3.28899e-05	0.00220346
0.015	0.0400538	4.38915e-05	0.00220346
0.02	0.0400588	5.4939e-05	0.00219817
0.025	0.0400585	6.59832e-05	0.00218011
0.03	0.0400488	7.6938e-05	0.00214825
0.035	0.0400297	8.77168e-05	0.00210519
0.04	0.0400046	9.82637e-05	0.00205423
0.045	0.0399765	0.000108551	0.00196076
0.05	0.039946	0.000118557	0.00182347
0.055	0.0399123	0.000128251	0.00164139
0.06	0.0398736	0.000135957	0.00148776
0.065	0.0398276	0.000143219	0.00136715
0.07	0.0397735	0.000150045	0.00128346
0.075	0.0397107	0.000156451	0.0012029
0.08	0.039637	0.000162454	0.00112548
0.085	0.0395498	0.000168072	0.0010509
0.09	0.0394483	0.000173319	0.000978664
0.095	0.0393326	0.000178206	0.000908193
0.1	0.0392076	0.000182743	0.000838929
0.105	0.0390865	0.000186936	0.000770522
0.11	0.0389817	0.000190786	0.000703039
0.115	0.0389024	0.000194297	0.000637032
0.12	0.038856	0.000197475	0.000573532
0.125	0.038846	0.00020033	0.000513912
0.13	0.0388689	0.000202881	0.000459671
0.135	0.0389135	0.000205156	0.000412197
0.14	0.0389654	0.00020719	0.000372572
0.145	0.039014	0.000209024	0.000341508
0.15	0.0390529	0.000210701	0.000319327
0.155	0.0390767	0.000212268	0.000305894
0.16	0.0390823	0.000213769	0.000300525
0.165	0.0390712	0.000215248	0.000301889
0.17	0.03905	0.000216741	0.000308053
0.175	0.0390275	0.000218273	0.000316613
0.18	0.0390092	0.000219857	0.000324941
0.185	0.0390004	0.000221492	0.000330552
0.19	0.0390055	0.000223162	0.000331512
0.195	0.0390258	0.00022484	0.000326765
0.2	0.039058	0.000226495	0.000316121
0.205	0.0390944	0.000228094	0.0003
0.21	0.0391264	0.00022961	0.000279103
0.215	0.0391484	0.000231018	0.000254239
0.22	0.039156	0.0002323	0.000226247
0.225	0.0391474	0.000233439	0.000195896
0.23	0.0391235	0.000234424	0.000163755
0.235	0.0390877	0.000235247	0.00013015
0.24	0.0390434	0.000235902	9.52549e-05
0.245	0.0389937	0.000236382	5.93925e-05
0.25	0.0389415	0.000236682	2.31848e-05
0.255	0.0388915	0.000236795	-1.2666e-05
0.26	0.0388488	0.000236727	-4.7619e-05
0.265	0.0388155	0.000236487	-8.13756e-05
0.27	0.0387888	0.000236075	-0.000113347
0.275	0.0387633	0.000235499	-0.000142575
0.28	0.0387323	0.000234773	-0.000167773
0.285	0.038695	0.000233916	-0.000187739
0.29	0.0386547	0.000232956	-0.000201515
0.295	0.0386132	0.000231925	-0.000208537
0.3	0.0385719	0.000230859	-0.000208684
0.305	0.0385353	0.000229793	-0.000202226
0.31	0.0385107	0.000228762	-0.000189675
0.315	0.0385033	0.000227795	-0.000171672
0.32	0.0385142	0.00022692	-0.000148907
0.325	0.0385414	0.000226163	-0.000122051
0.33	0.0385821	0.000225541	-9.15852e-05
0.335	0.038635	0.000225072	-0.0050499
0.34	0.0386973	0.000224772	-0.0100041
0.345	0.0387659	0.000224658	-0.0149537
0.35	0.0388381	1.00046e-07	-0.00991411
0.355	0.0389111	4.43459e-07	-0.00487132
0.36	0.0389817	1.04359e-06	0.000173207
0.365	0.0390451	1.90859e-06	0.000225562
0.37	0.0390964	3.04014e-06	0.000276769
0.375	0.0391357	4.43268e-06	0.000325435
0.38	0.0391678	6.0731e-06	0.000370338
0.385	0.0391976	7.94114e-06	0.000410613
0.39	0.0392237	1.00117e-05	0.000445831
0.395	0.0392462	1.22583e-05	0.000475916
0.4	0.039268	1.46545e-05	0.00050097
0.405	0.03929	1.71756e-05	0.000521114
0.41	0.0393068	1.97973e-05	0.000536426
0.415	0.0393137	2.24953e-05	0.00054697
0.42	0.0393083	2.52459e-05	0.000552851
0.425	0.0392889	2.80253e-05	0.000554276
0.43	0.039257	3.08106e-05	0.000551546
0.435	0.0392173	3.35809e-05	0.000545045
0.44	0.0391744	3.63174e-05	0.000535266
0.445	0.0391303	3.90031e-05	0.000522909
0.45	0.0390898	4.16233e-05	0.000508899
0.455	0.0390586	4.41695e-05	0.00049421
0.46	0.0390403	4.66394e-05	0.000479641
0.465	0.0390352	4.90353e-05	0.000465762
0.47	0.0390382	5.13606e-05	0.00045309
0.475	0.0390451	5.36202e-05	0.000442244
0.48	0.0390532	5.58228e-05	0.000433892
0.485	0.0390596	5.79814e-05	0.000428471
0.49	0.0390612	6.01129e-05	0.0004259
0.495	0.0390557	6.22344e-05	0.000425531
0.5	0.0390441	6.43582e-05	0.00042633
0.505	0.0390302	6.649e-05	0.000427144
0.51	0.0390207	6.86294e-05	0.000426819
0.515	0.0390229	7.07711e-05	0.000424269
0.52	0.0390399	7.29036e-05	0.000418625
0.525	0.0390675	7.50097e-05	0.00040947
0.53	0.0390987	7.70692e-05	0.000397003
0.535	0.0391291	7.90633e-05	0.000381988
0.54	0.0391592	8.09781e-05	0.000365574
0.545	0.0391892	8.28063e-05	0.000349064
0.55	0.0392158	8.45473e-05	0.000333736
0.555	0.0392298	8.62079e-05	0.000320656
0.56	0.0392236	8.78004e-05	0.000310554
0.565	0.0391958	8.93414e-05	0.000303693
0.57	0.0391511	9.0849e-05	0.000299813
0.575	0.0390961	9.234e-05	0.000298173
0.58	0.0390337	9.38268e-05	0.000297682
0.585	0.0389688	9.53157e-05	0.000297104
0.59	0.0389088	9.68058e-05	0.000295243
0.595	0.0388613	9.82901e-05	0.000291112
0.6	0.0388306	9.97563e-05	0.000284087
0.605	0.0388181	0.000101188	0.00027406
0.61	0.0388238	0.000102568	0.000261484
0.615	0.0388435	0.000103881	0.000247259
0.62	0.0388715	0.000105119	0.000232461
0.625	0.0389046	0.000106279	0.000218047
0.63	0.0389398	0.000107365	0.000204633
0.635	0.0389756	0.000108384	0.000192414
0.64	0.0390117	0.000109342	0.000181211
0.645	0.0390454	0.000110246	0.000170576
0.65	0.039071	0.000111099	0.000159957
0.655	0.0390831	0.000111901	0.000148855
0.66	0.0390798	0.000112648	0.000136952
0.665	0.0390656	0.000113336	0.000124175
0.67	0.0390487	0.00011396	0.000110738
0.675	0.0390358	0.000114514	9.70794e-05
0.68	0.0390261	0.000114998	8.36832e-05
0.685	0.0390135	0.000115414	7.08795e-05
0.69	0.0389947	0.000115766	5.87619e-05
0.695	0.0389683	0.000116058	4.72549e-05
0.7	0.0389326	0.000116293	3.62705e-05
0.705	0.0388868	0.000116473	2.58875e-05
0.71	0.038831	0.000116599	1.65045e-05
0.715	0.0387702	0.000116677	8.87537e-06
0.72	0.0387138	0.000116712	-0.00258979
0.725	0.0386704	0.000116719	-0.00518503
0.73	0.0386436	0.000116717	-0.00777654
0.735	0.0386367	1.09543e-08	-0.00517707
0.74	0.0386524	5.27294e-08	-0.00257445
0.745	0.0386873	1.39945e-07	3.10212e-05
0.75	0.0387312	2.86084e-07	4.54968e-05
0.755	0.0387769	5.04494e-07	6.26126e-05
0.76	0.0388215	8.09003e-07	8.22235e-05
0.765	0.0388635	1.21261e-06	0.000104119
0.77	0.0389015	1.72647e-06	0.000128056
0.775	0.0389364	2.36055e-06	0.00015373
0.78	0.0389694	3.12445e-06	0.000180691
0.785	0.0390035	4.02561e-06	0.000208294
0.79	0.0390422	5.06742e-06	0.000235723
0.795	0.0390828	6.24954e-06	0.000262039
0.8	0.0391192	7.56691e-06	0.000286304
0.805	0.0391492	9.00858e-06	0.000307754
0.81	0.0391729	1.05588e-05	0.000325934
0.815	0.0391906	1.22002e-05	0.000340681
0.82	0.0392013	1.3915e-05	0.000352003
0.825	0.039201	1.56862e-05	0.000359952
0.83	0.0391852	1.7497e-05	0.000364555
0.835	0.0391566	1.93309e-05	0.000365784
0.84	0.0391218	2.11713e-05	0.000363609
0.845	0.0390852	2.30009e-05	0.000358138
0.85	0.0390513	2.48022e-05	0.000349868
0.855	0.0390235	2.65585e-05	0.000339834
0.86	0.039003	2.82587e-05	0.00032953
0.865	0.0389888	2.99012e-05	0.00032057
0.87	0.0389812	3.14941e-05	0.000314355
0.875	0.038978	3.30528e-05	0.000311938
0.88	0.0389759	3.45971e-05	0.000314078
0.885	0.0389739	3.61501e-05	0.000321252
0.89	0.0389707	3.77382e-05	0.000333509
0.895	0.0389642	3.93893e-05	0.000350304
0.9	0.0389538	4.11289e-05	0.000370515
0.905	0.0389403	4.29751e-05	0.000392731
0.91	0.0389266	4.49373e-05	0.000415627
0.915	0.0389206	4.70173e-05	0.000438292
0.92	0.038931	4.92117e-05	0.000460371
0.925	0.0389627	5.15155e-05	0.000482009
0.93	0.0390148	5.39255e-05	0.000503662
0.935	0.0390803	5.64419e-05	0.000525831
0.94	0.0391515	5.90675e-05	0.000548861
0.945	0.039225	6.18082e-05	0.000572816
0.95	0.0392958	6.46696e-05	0.000597511
0.955	0.0393559	6.76558e-05	0.000622605
0.96	0.0393962	7.07688e-05	0.000647664
0.965	0.0394102	7.40087e-05	0.000672099
0.97	0.0393993	7.73734e-05	0.000695001
0.975	0.0393703	8.08571e-05	0.000715057
0.98	0.0393335	8.44472e-05	0.000730638
0.985	0.039299	8.81216e-05	0.000740145
0.99	0.0392763	9.18479e-05	0.000742445
0.995	0.0392689	9.5587e-05	0.000737177
1	0.0392741	9.92975e-05	0.000724762
1.005	0.0392872	0.000102942	0.00070615
1.01	0.0393009	0.00010649	0.000682595
1.015	0.0393085	0.000109915	0.000655542
1.02	0.0393074	0.000113199	0.000626615
1.025	0.0392973	0.000116332	0.000597498
1.03	0.0392783	0.000119315	0.000569687
1.035	0.039249	0.000122154	0.000544225
1.04	0.0392086	0.000124865	0.000521506
1.045	0.0391589	0.000127463	0.000501288
1.05	0.0391038	0.000129963	0.000482822
1.055	0.0390491	0.000132375	0.000465118
1.06	0.0390031	0.000134702	0.000447213
1.065	0.0389734	0.000136942	0.000428421
1.07	0.0389616	0.000139088	0.000408457
1.075	0.0389645	0.000141135	0.000387456
1.08	0.0389748	0.000143074	0.000365891
1.085	0.0389878	0.000144904	0.000344548
1.09	0.039001	0.000146622	0.000324515
1.095	0.0390127	0.000148236	0.000307109
1.1	0.0390221	0.000149758	0.000293623
1.105	0.0390287	0.000151209	0.000285048
1.11	0.0390336	0.000152615	0.000281852
1.115	0.0390368	0.000154006	0.000283932
1.12	0.0390388	0.000155409	0.000290728
1.125	0.0390388	0.00015685	0.000301448
1.13	0.0390354	0.000158347	0.000315362
1.135	0.0390286	0.000159916	0.000331985
1.14	0.0390197	0.000161568	0.000351066
1.145	0.039009	0.000163315	0.00037234
1.15	0.0389985	0.00016517	0.000395262
1.155	0.0389939	0.000167144	0.000418987
1.16	0.0389998	0.00016924	0.000442557
1.165	0.0390161	0.000171456	0.000465202
1.17	0.0390384	0.000173787	0.000486436
1.175	0.0390619	0.000176225	0.000506064
1.18	0.0390836	0.000178761	0.000524097
