Time	Air Flow	Lung Volume	Comp Ch 2
0	0.0430641	3.69896e-05	0.00724678
0.005	0.0430632	7.39709e-05	0.00724678
0.01	0.0430564	0.000110889	0.00724678
0.015	0.043035	0.00014761	0.00724678
0.02	0.0429948	0.000183959	0.00713618
0.025	0.0429363	0.000219768	0.00698526
0.03	0.0428574	0.000254848	0.00678727
0.035	0.0427538	0.00028897	0.00653423
0.04	0.0426199	0.000321855	0.00622027
0.045	0.0424506	0.000353177	0.00580387
0.05	0.0422445	0.000382594	0.00531815
0.055	0.0420067	0.000409815	0.00480226
0.06	0.041745	0.000432768	0.0043794
0.065	0.0414706	0.000454361	0.00403552
0.07	0.0411986	0.000474559	0.0037515
0.075	0.0409398	0.00049333	0.00346369
0.08	0.0406991	0.000510653	0.00317434
0.085	0.0404808	0.000526522	0.0028859
0.09	0.0402864	0.00054094	0.00260084
0.095	0.040115	0.000553925	0.00232172
0.1	0.0399655	0.000565505	0.00205119
0.105	0.0398333	0.000575723	0.00179197
0.11	0.0397123	0.000584636	0.00154679
0.115	0.039599	0.000592314	0.00131809
0.12	0.0394904	0.000598842	0.00110797
0.125	0.0393851	0.000604314	0.000917989
0.13	0.0392853	0.000608832	0.000749135
0.135	0.0391951	0.000612505	0.000601772
0.14	0.0391177	0.000615442	0.000475694
0.145	0.0390564	0.000617751	0.000370175
0.15	0.0390106	0.000619537	0.000284079
0.155	0.0389769	0.000620897	0.000215935
0.16	0.0389521	0.000621922	0.000163996
0.165	0.0389328	0.000622695	0.000126261
0.17	0.0389166	0.000623286	0.000100544
0.175	0.0389029	0.000623756	8.45951e-05
0.18	0.0388919	0.000624154	7.62701e-05
0.185	0.0388861	0.000624517	7.37271e-05
0.19	0.0388905	0.000624872	7.54733e-05
0.195	0.0389098	0.000625239	8.03887e-05
0.2	0.0389467	0.000625634	8.75805e-05
0.205	0.0389997	0.000626067	9.62832e-05
0.21	0.0390634	0.000626545	0.000105762
0.215	0.0391338	0.000627074	0.000115373
0.22	0.0392083	0.000627653	0.000124632
0.225	0.0392808	0.000628278	0.000133355
0.23	0.0393427	0.000628947	0.000141587
0.235	0.0393856	0.000629656	0.000149524
0.24	0.0394033	0.000630403	0.000157228
0.245	0.0393948	0.00063119	0.000164539
0.25	0.0393638	0.000632015	0.000171009
0.255	0.0393186	0.000632875	0.000176033
0.26	0.0392689	0.000633763	0.000179067
0.265	0.0392216	0.000634666	0.000179815
0.27	0.0391808	0.000635574	0.000178366
0.275	0.0391455	0.000636472	0.000175192
0.28	0.0391123	0.000637351	0.000171074
