Time	Air Flow	Lung Volume	Comp Ch 2
0	0.0387573	-4.31164e-06	-0.00080148
0.005	0.0387572	-8.62386e-06	-0.00080148
0.01	0.0387589	-1.29227e-05	-0.00080148
0.015	0.0387684	-1.71414e-05	-0.00080148
0.02	0.0387886	-2.11916e-05	-0.00075646
0.025	0.0388163	-2.50111e-05	-0.000697058
0.03	0.0388497	-2.85517e-05	-0.000619054
0.035	0.0388926	-3.17335e-05	-0.000515074
0.04	0.0389512	-3.44265e-05	-0.000377858
0.045	0.0390311	-3.64519e-05	0.000633053
0.05	0.0391366	-3.75962e-05	0.0016578
0.055	0.0392652	-3.76672e-05	0.00266762
0.06	0.0394066	1.13891e-06	0.00195739
0.065	0.0395506	2.65459e-06	0.00121179
0.07	0.0396894	4.53411e-06	0.000446119
0.075	0.0398162	6.76915e-06	0.000515923
0.08	0.0399232	9.35349e-06	0.00058412
0.085	0.0400012	1.22803e-05	0.000650247
0.09	0.0400429	1.55406e-05	0.000713405
0.095	0.0400507	1.91212e-05	0.000772235
0.1	0.0400323	2.30022e-05	0.000824914
0.105	0.0399933	2.71542e-05	0.0008693
0.11	0.0399399	3.15363e-05	0.000903259
0.115	0.039881	3.60947e-05	0.000925192
0.12	0.039825	4.07651e-05	0.000934431
0.125	0.0397775	4.54796e-05	0.000931316
0.13	0.0397422	5.01742e-05	0.000916941
0.135	0.0397214	5.47917e-05	0.000892885
0.14	0.0397142	5.92827e-05	0.000861174
0.145	0.0397158	6.36067e-05	0.000824324
0.15	0.0397189	6.77358e-05	0.000785217
0.155	0.039717	7.16589e-05	0.000746728
0.16	0.0397057	7.53811e-05	0.000711312
0.165	0.0396849	7.89201e-05	0.000680758
0.17	0.0396543	8.2303e-05	0.000656073
0.175	0.0396137	8.55617e-05	0.000637492
0.18	0.0395683	8.87295e-05	0.000624539
0.185	0.0395264	9.18362e-05	0.000616183
0.19	0.0394964	9.49062e-05	0.000610993
0.195	0.0394808	9.7956e-05	0.000607313
0.2	0.0394738	0.000100993	0.000603433
0.205	0.0394709	0.000104017	0.000597782
0.21	0.0394735	0.000107017	0.000589115
0.215	0.0394852	0.000109976	0.000576667
0.22	0.039507	0.000112874	0.000560259
0.225	0.0395365	0.000115688	0.000540345
0.23	0.0395703	0.000118399	0.000517945
0.235	0.0396039	0.000120992	0.00049445
0.24	0.0396346	0.000123463	0.000471271
0.245	0.0396598	0.000125813	0.000449499
0.25	0.0396778	0.000128053	0.000429747
0.255	0.0396877	0.000130194	0.000412234
0.26	0.039688	0.000132248	0.000396942
0.265	0.0396767	0.000134225	0.000383674
0.27	0.0396511	0.000136138	0.000371955
0.275	0.0396092	0.000137995	0.00036102
0.28	0.0395504	0.0001398	0.000349954
0.285	0.0394793	0.000141554	0.000337974
0.29	0.0394054	0.000143249	0.000324637
0.295	0.0393366	0.000144878	0.000309904
0.3	0.0392806	0.000146431	0.000294085
0.305	0.0392438	0.000147904	0.000277753
0.31	0.0392267	0.000149292	0.000261694
0.315	0.0392287	0.000150596	0.000246892
0.32	0.0392443	0.000151823	0.000234534
0.325	0.0392671	0.000152983	0.00022595
0.33	0.039295	0.000154096	0.000222521
0.335	0.0393231	0.000155186	0.000225547
0.34	0.039347	0.000156288	0.000236075
0.345	0.0393654	0.00015744	0.00025466
0.35	0.0393784	0.000158686	0.000281113
0.355	0.0393896	0.000160067	0.000314355
0.36	0.0394014	0.000161622	0.000352538
0.365	0.039415	0.000163376	0.000393408
0.37	0.0394316	0.000165342	0.000434838
0.375	0.0394518	0.000167521	0.000475266
0.38	0.0394765	0.000169905	0.000513921
0.385	0.0395079	0.000172481	0.000550775
0.39	0.0395474	0.00017524	0.000586331
0.395	0.0395927	0.000178173	0.000621329
0.4	0.0396394	0.000181279	0.000656506
0.405	0.0396862	0.000184559	0.000692378
0.41	0.0397317	0.000188017	0.0007291
0.415	0.0397734	0.00019166	0.000766413
0.42	0.0398054	0.000195491	0.000803671
0.425	0.039821	0.000199513	0.000839952
0.43	0.0398185	0.000203719	0.000874174
0.435	0.0398028	0.000208101	0.000905255
0.44	0.0397827	0.000212641	0.000932189
0.445	0.0397661	0.000217319	0.000954121
0.45	0.0397604	0.000222109	0.000970359
0.455	0.0397686	0.000226982	0.000980456
0.46	0.0397891	0.000231906	0.000984255
0.465	0.0398178	0.000236848	0.000981901
0.47	0.0398492	0.000241777	0.000973837
0.475	0.0398783	0.000246663	0.000960813
0.48	0.0399009	0.000251481	0.000943819
0.485	0.0399145	0.000256209	0.00092392
0.49	0.0399169	0.000260835	0.000901941
0.495	0.0399052	0.000265349	0.000878262
0.5	0.0398812	0.000269746	0.000852754
0.505	0.039849	0.000274017	0.000824932
0.51	0.0398116	0.000278152	0.000794166
0.515	0.0397716	0.000282135	0.000759923
0.52	0.0397307	0.000285948	0.000721972
0.525	0.0396894	0.00028957	0.000680525
0.53	0.0396503	0.000292983	0.000636299
0.535	0.0396162	0.00029617	0.000590453
0.54	0.0395874	0.000299123	0.000544471
0.545	0.0395638	0.00030184	0.000500012
0.55	0.0395426	0.00030433	0.000458758
0.555	0.0395175	0.000306607	0.000422205
0.56	0.0394844	0.000308698	0.000391448
0.565	0.0394427	0.000310633	0.000367069
0.57	0.0393963	0.000312446	0.000349171
0.575	0.03935	0.000314171	0.000337496
0.58	0.0393076	0.000315839	0.000331519
0.585	0.0392738	0.00031748	0.000330446
0.59	0.0392502	0.000319118	0.000333205
0.595	0.0392391	0.000320776	0.00033844
0.6	0.0392436	0.000322465	0.000344662
0.605	0.039263	0.00032419	0.00035043
0.61	0.0392965	0.000325949	0.000354608
