Time	Air Flow	Lung Volume	Comp Ch 2
0	0.0366039	-2.2393e-05	-0.00432066
0.005	0.036604	-4.47852e-05	-0.00432066
0.01	0.0366086	-6.71392e-05	-0.00432066
0.015	0.0366293	-8.93206e-05	-0.00432066
0.02	0.0366771	-0.000111102	-0.0041867
0.025	0.0367584	-0.000132205	-0.00400616
0.03	0.0368709	-0.000152367	-0.0037884
0.035	0.0370073	-0.000171391	-0.00354866
0.04	0.0371591	-0.000189146	-0.00330589
0.045	0.0373132	-0.000205615	-0.00314445
0.05	0.0374559	-0.000220892	-0.00308473
0.055	0.0375763	-0.000235163	-0.0031359
0.06	0.0376668	-0.000251598	-0.00316587
0.065	0.0377261	-0.000267705	-0.00315532
0.07	0.0377564	-0.000283483	-0.00308927
0.075	0.0377615	-0.000298929	-0.00302362
0.08	0.0377474	-0.000314043	-0.00295943
0.085	0.0377209	-0.000328831	-0.00289821
0.09	0.0376878	-0.000343306	-0.0028416
0.095	0.0376513	-0.000357493	-0.00279109
0.1	0.0376174	-0.000371423	-0.00274767
0.105	0.037593	-0.000385136	-0.00271155
0.11	0.0375806	-0.00039867	-0.0026821
0.115	0.0375781	-0.000412062	-0.0026579
0.12	0.0375802	-0.00042534	-0.00263702
0.125	0.0375833	-0.000438521	-0.00261727
0.13	0.0375895	-0.000451612	-0.00259644
0.135	0.0376023	-0.000464605	-0.00257237
0.14	0.0376232	-0.000477484	-0.00254304
0.145	0.037654	-0.000490224	-0.00250661
0.15	0.0376931	-0.000502786	-0.00246149
0.155	0.0377348	-0.000515128	-0.00240644
0.16	0.0377746	-0.000527197	-0.00234071
0.165	0.0378117	-0.000538937	-0.00226417
0.17	0.0378467	-0.000550293	-0.00217733
0.175	0.0378811	-0.000561212	-0.00208125
0.18	0.0379174	-0.000571644	-0.00197754
0.185	0.0379565	-0.000581551	-0.00186832
0.19	0.0379992	-0.000590903	-0.00175616
0.195	0.0380466	-0.000599684	-0.00164393
0.2	0.0381012	-0.000607894	-0.00153472
0.205	0.0381676	-0.000615547	-0.00143153
0.21	0.03825	-0.000622675	-0.00133701
0.215	0.0383495	-0.000629322	-0.00125315
0.22	0.038467	-0.000635547	-0.00118105
0.225	0.0386001	-0.000641411	-0.00112087
0.23	0.0387439	-0.000646977	-0.00107201
0.235	0.0388915	-0.000652303	-0.00103335
0.24	0.0390323	-0.00065744	-0.00100364
0.245	0.0391534	-0.000662433	-0.000981774
0.25	0.0392442	-0.000667319	-0.000967075
0.255	0.0392985	-0.000672132	-0.000959267
0.26	0.0393132	-0.000676905	-0.000958414
0.265	0.0392892	-0.000681674	-0.000964809
0.27	0.0392278	-0.000686472	-0.000978913
0.275	0.0391291	-0.000691339	-0.00100122
0.28	0.0390004	-0.000696316	-0.00103208
0.285	0.0388548	-0.000701447	-0.00107161
0.29	0.0387053	-0.000706776	-0.00111952
0.295	0.0385651	-0.000712348	-0.00117511
0.3	0.0384447	-0.000718201	-0.00123717
0.305	0.0383501	-0.00072437	-0.00130408
0.31	0.0382772	-0.00073088	-0.00137384
0.315	0.0382174	-0.000737747	-0.00144427
0.32	0.0381645	-0.000744974	-0.00151315
0.325	0.0381172	-0.000752552	-0.00157836
0.33	0.0380771	-0.000760463	-0.00163791
0.335	0.0380447	-0.000768678	-0.00168999
0.34	0.0380204	-0.000777159	-0.00173299
0.345	0.0380063	-0.000785859	-0.00176564
0.35	0.0380057	-0.000794725	-0.00178709
0.355	0.03802	-0.0008037	-0.00179701
