Time	Air Flow	Lung Volume	Comp Ch 2
0	0.0404806	1.18303e-05	0.0023759
0.005	0.0404805	2.36597e-05	0.0023759
0.01	0.0404802	3.54865e-05	0.0023759
0.015	0.0404819	4.73286e-05	0.0023759
0.02	0.0404866	5.92139e-05	0.00237685
0.025	0.0404904	7.11347e-05	0.00236542
0.03	0.0404889	8.30414e-05	0.00233152
0.035	0.0404741	9.48113e-05	0.00226705
0.04	0.0404402	0.000106268	0.00216764
0.045	0.0403864	0.000117229	0.0020095
0.05	0.0403126	0.000127507	0.00180971
0.055	0.0402198	0.000136929	0.00158911
0.06	0.040114	0.0001443	0.00141748
0.065	0.0400018	0.000151213	0.00128979
0.07	0.0398893	0.000157662	0.0011975
0.075	0.0397821	0.000163648	0.0011058
0.08	0.0396848	0.000169172	0.00101545
0.085	0.0396006	0.000174242	0.00092726
0.09	0.0395283	0.000178869	0.000842141
0.095	0.039466	0.000183066	0.000761144
0.1	0.0394132	0.000186854	0.000685298
0.105	0.0393661	0.00019026	0.000615477
0.11	0.0393245	0.000193315	0.000552349
0.115	0.03929	0.000196053	0.000496486
0.12	0.0392616	0.000198509	0.000448453
0.125	0.0392394	0.000200723	0.000408853
0.13	0.0392263	0.000202737	0.000378236
0.135	0.0392242	0.000204597	0.000356915
0.14	0.0392341	0.000206349	0.000344794
0.145	0.0392568	0.000208044	0.000341278
0.15	0.039289	0.000209725	0.000345347
0.155	0.0393263	0.00021143	0.000355662
0.16	0.0393666	0.000213193	0.000370653
0.165	0.0394059	0.000215036	0.000388558
0.17	0.0394364	0.000216975	0.000407464
0.175	0.0394531	0.000219016	0.000425436
0.18	0.0394586	0.000221153	0.000440761
0.185	0.0394581	0.000223371	0.000452166
0.19	0.0394599	0.000225648	0.000458975
0.195	0.0394707	0.000227959	0.000461143
0.2	0.0394938	0.00023028	0.000459221
0.205	0.0395269	0.000232586	0.000454225
0.21	0.0395629	0.000234864	0.000447442
0.215	0.0395956	0.000237102	0.000440166
0.22	0.0396203	0.0002393	0.000433498
0.225	0.0396318	0.000241462	0.000428212
0.23	0.0396258	0.000243597	0.000424717
0.235	0.0395997	0.000245714	0.000423061
